"rank"	"DPName"	"dpID"	"dpIDSource"	"DPNumber"	"table"	"tableDescription"	"fieldName"	"description"	"dataType"	"units"	"measurementScale"	"ontologyMapping"	"pubFormat"	"exampleEntry"	"usage"	"fieldType"	"tableType"	"inputs"	"ingestDPIDSource"	"ingestTableSource"	"ingestFieldSource"	"inputFieldParameter"	"filterSampleClass"	"timeIndex"	"timeDescription"	"downloadPkg"	"dataCategory"	"sampleInfo"	"lovName"	"primaryKey"	"redactionFlag"
22	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"laboratoryName"	"Name of the laboratory or facility that is processing the sample"	"string"	NA	"nominal"	""	"asIs"	"University of Wyoming Stable Isotope Facility"	"both"	"locationNameDP"	"site-date"	"laboratoryName"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
23	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"testMethod"	"Method used to conduct test"	"string"	NA	"textDomain"	""	"asIs"	"010 EA-IRMS organic d15n, d13c, C% & N%"	"both"	"DP"	"site-date"	"testMethod"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
24	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"instrument"	"Type of instrument used for the analysis"	"string"	NA	"textDomain"	""	"asIs"	"Carlo Erba 1110 Elemental Analyzer plus Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP plus Conflo 3 Interface"	"both"	"DP"	"site-date"	"instrument"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
25	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"analyzedBy"	"Name of lab personnel analyzing sample"	"string"	NA	"textDomain"	""	"obfuscate"	"Lab technician name"	"both"	"DP"	"site-date"	"analyzedBy"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
26	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"reviewedBy"	"Name of lab personnel who reviewed the data prior to submission"	"string"	NA	"textDomain"	""	"obfuscate"	"Lab manager name"	"both"	"DP"	"site-date"	"reviewedBy"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
27	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"dataQF"	"Data quality flag"	"string"	NA	"nominal"	""	"asIs"	"legacyData"	"both"	"DP"	"site-date"	"dataQF"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB245"	"both"	"uid"	"site-date"	""	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"GENERATED"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"namedLocation"	"Name of the measurement location in the NEON database"	"string"	NA	"nominal"	""	"asIs"	"GRSM_001.basePlot.cfc"	"both"	"DP"	"site-date"	"namedLocationName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"domainID"	"Unique identifier of the NEON domain"	"string"	NA	"nominal"	""	"asIs"	"D07"	"both"	"DP"	"site-date"	"DOMAIN"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"siteID"	"NEON site code"	"string"	NA	"nominal"	""	"asIs"	"GRSM"	"both"	"DP"	"site-date"	"SITE"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"plotID"	"Plot identifier (NEON site code_XXX)"	"string"	NA	"nominal"	""	"asIs"	"GRSM_001"	"both"	"DP"	"site-date"	"Plot ID"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"plotType"	"NEON plot type in which sampling occurred: tower, distributed or gradient"	"string"	NA	"nominal"	""	"asIs"	"distributed"	"both"	"DP"	"site-date"	"Plot type"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"sampleID"	"Identifier for sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705"	"both"	"DP"	"site-date"	"primarySampleTag"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.sampleID"	""	0	NA	"basic"	"N"	"Equals: cfc_fieldData_in.sampleID"	""	"Y"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"sampleCode"	"Barcode of a sample"	"string"	NA	"textDomain"	""	"asIs"	"11FF079DB58949"	"both"	"DP"	"site-date"	"primarySampleBarcode"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.sampleID"	""	0	NA	"basic"	"N"	""	""	"Y"	""
9	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"setDate"	"Date that trap was set"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultStartDate"	"site-date"	"activityStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
10	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"collectDate"	"Date of the collection event"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultEndDate"	"site-date"	"activityEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
11	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"ovenStartDate"	"The date and time a sample was placed in the drying oven"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-09T14:25"	"both"	"DP"	"site-date"	"ovenStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
12	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"ovenEndDate"	"The date and time a sample was removed from the drying oven"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-12T10:15"	"both"	"DP"	"site-date"	"ovenEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
13	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"sampleCondition"	"Condition of a sample"	"string"	NA	"nominal"	""	"LOV"	"OK"	"both"	"DP"	"site-date"	"sampleCondition"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.bgcSampleCondition"	"N"	""
14	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"cnSampleID"	"Identifier for a carbon-nitrogen sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705.cn"	"both"	"DP"	"site-date"	"childSampleTag"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"SAMPLE_TABLE"	"cfc_chemistrySubsampling_in.cnSampleID"	""	0	NA	"basic"	"Y"	"Equals: cfc_chemistrySubsampling_in.cnSampleID"	""	"N"	""
15	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"cnSampleCode"	"Barcode of a carbon-nitrogen sample"	"string"	NA	"textDomain"	""	"asIs"	"11FF079DB589496"	"both"	"DP"	"site-date"	"childSampleBarcode"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"SAMPLE_TABLE"	"cfc_chemistrySubsampling_in.cnSampleID"	""	0	NA	"basic"	"N"	""	""	"N"	""
16	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"ligninSampleID"	"Identifier for a lignin sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705.lig"	"both"	"DP"	"site-date"	"childSampleTag"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"SAMPLE_TABLE"	"cfc_chemistrySubsampling_in.ligninSampleID"	""	0	NA	"basic"	"Y"	"Equals: cfc_chemistrySubsampling_in.ligninSampleID"	""	"N"	""
17	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"ligninSampleBarcode"	"Barcode for a lignin sample"	"string"	NA	"textDomain"	""	"asIs"	"11FF079DB589498"	"both"	"DP"	"site-date"	"childSampleBarcode"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"SAMPLE_TABLE"	"cfc_chemistrySubsampling_in.ligninSampleID"	""	0	NA	"basic"	"N"	""	""	"N"	""
18	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"archiveSampleID"	"Identifier for an archive sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705.ar"	"both"	"DP"	"site-date"	"childSampleTag"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"SAMPLE_TABLE"	"cfc_chemistrySubsampling_in.archiveSampleID"	""	0	NA	"basic"	"Y"	"Equals: cfc_chemistrySubsampling_in.archiveSampleID"	""	"N"	""
19	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"archiveSampleCode"	"Barcode of archive sample"	"string"	NA	"textDomain"	""	"asIs"	"11FF079DB589497"	"both"	"DP"	"site-date"	"childSampleBarcode"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"SAMPLE_TABLE"	"cfc_chemistrySubsampling_in.archiveSampleID"	""	0	NA	"basic"	"N"	""	""	"N"	""
20	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"archiveMass"	"Mass of an archive sample"	"real"	"gram"	"ratio"	""	"*.##(round)"	"5.35"	"both"	"DP"	"site-date"	"archiveMass"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
21	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"toxicodendronPossible"	"Indicator for whether a sample may contain Toxicodendron spp"	"string"	NA	"textDomain"	""	"LOV"	"N"	"both"	"DP"	"site-date"	"toxicodendronPossible"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.toxicodendron"	"N"	""
22	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"processedBy"	"An identifier for the technician who processed the sample(s)"	"string"	NA	"textDomain"	""	"asIs"	"sthomason@battelleecology.org"	"both"	"DP"	"site-date"	"processedBy"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
23	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"remarks"	"Technician notes; free text comments accompanying the record"	"string"	NA	"textDomain"	""	"asIs"	"subsampling occurred 2 weeks after collection"	"both"	"DP"	"site-date"	"remarks"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
24	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chemistrySubsampling_pub"	"Subsampling for chemical analyses of foliar samples"	"dataQF"	"Data quality flag"	"string"	NA	"nominal"	""	"asIs"	"legacyData"	"both"	"DP"	"site-date"	"dataQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chemistrySubsampling_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB246"	"both"	"uid"	"site-date"	""	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"GENERATED"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"namedLocation"	"Name of the measurement location in the NEON database"	"string"	NA	"nominal"	""	"asIs"	"GRSM_001.basePlot.cfc"	"both"	"DP"	"site-date"	"namedLocationName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"domainID"	"Unique identifier of the NEON domain"	"string"	NA	"nominal"	""	"asIs"	"D07"	"both"	"DP"	"site-date"	"DOMAIN"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"siteID"	"NEON site code"	"string"	NA	"nominal"	""	"asIs"	"GRSM"	"both"	"DP"	"site-date"	"SITE"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"plotID"	"Plot identifier (NEON site code_XXX)"	"string"	NA	"nominal"	""	"asIs"	"GRSM_001"	"both"	"DP"	"site-date"	"Plot ID"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"plotType"	"NEON plot type in which sampling occurred: tower, distributed or gradient"	"string"	NA	"nominal"	""	"asIs"	"distributed"	"both"	"DP"	"site-date"	"Plot type"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"sampleID"	"Identifier for sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705"	"both"	"DP"	"site-date"	"parentSampleTag"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.sampleID"	""	0	NA	"basic"	"N"	"Equals: cfc_fieldData_in.sampleID"	""	"N"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"sampleCode"	"Barcode of a sample"	"string"	NA	"textDomain"	""	"asIs"	"11FF079DB589496"	"both"	"DP"	"site-date"	"parentSampleBarcode"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.sampleID"	""	0	NA	"basic"	"N"	""	""	"N"	""
9	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlorophyllSampleID"	"Identifier for a chlorophyll sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705.chl"	"both"	"DP"	"site-date"	"primarySampleTag"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.chlorophyllSampleID"	""	0	NA	"basic"	"N"	"Equals: cfc_fieldData_in.chlorophyllSampleID"	""	"Y"	""
10	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"chlorophyllSampleCode"	"Barcode of a chlorophyll sample"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB246A"	"both"	"DP"	"site-date"	"primarySampleBarcode"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.chlorophyllSampleID"	""	0	NA	"basic"	"N"	""	""	"Y"	""
11	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"setDate"	"Date that trap was set"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultStartDate"	"site-date"	"activityStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
12	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"collectDate"	"Date of the collection event"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultEndDate"	"site-date"	"activityEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
13	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"receivedDate"	"Date a sample was received"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20200711"	"both"	"DP"	"site-date"	"receivedDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
14	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_chlorophyll_pub"	"External lab analysis of foliar chlorophyll concentrations"	"receivedCondition"	"Condition of the sample on the date it was received"	"string"	NA	"nominal"	""	"LOV"	"OK"	"both"	"DP"	"site-date"	"receivedCondition"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_chlorophyll_in"	"DP_TABLE"	""	""	0	NA	"none"	"N"	""	"cfc.chlReceivedCondition"	"N"	""
